recordId,fanId,points,transactionType,referenceId,timestamp,description
LP_000001,FAN_00002,367,EARN,REF_1,2025-05-03 02:52:10,Purchase reward points
LP_000002,FAN_00003,573,REDEEM,REF_2,2025-07-19 16:16:35,Points redeemed for discount
LP_000003,FAN_00004,697,EARN,REF_3,2026-10-01 07:52:54,Purchase reward points
LP_000004,FAN_00005,293,EARN,REF_4,2024-05-09 10:08:11,Purchase reward points
LP_000005,FAN_00006,92,EARN,REF_5,2026-10-24 00:31:07,Purchase reward points
LP_000006,FAN_00007,537,EARN,REF_6,2026-03-17 22:07:57,Purchase reward points
LP_000007,FAN_00008,182,EARN,REF_7,2025-02-27 16:19:46,Purchase reward points
LP_000008,FAN_00009,623,EARN,REF_8,2024-09-13 04:21:41,Purchase reward points
LP_000009,FAN_00010,477,EARN,REF_9,2024-09-27 20:43:30,Purchase reward points
LP_000010,FAN_00011,490,EARN,REF_10,2024-09-19 21:01:38,Purchase reward points
LP_000011,FAN_00012,111,REDEEM,REF_11,2024-03-26 17:38:53,Points redeemed for discount
LP_000012,FAN_00013,288,EARN,REF_12,2026-05-11 13:12:18,Purchase reward points
LP_000013,FAN_00014,102,EARN,REF_13,2024-10-28 09:08:21,Purchase reward points
LP_000014,FAN_00015,204,EARN,REF_14,2025-03-12 18:28:20,Purchase reward points
LP_000015,FAN_00016,887,REDEEM,REF_15,2025-09-24 22:01:23,Points redeemed for discount
LP_000016,FAN_00017,448,EARN,REF_16,2025-08-16 15:03:40,Purchase reward points
LP_000017,FAN_00018,731,EARN,REF_17,2026-10-27 11:13:44,Purchase reward points
LP_000018,FAN_00019,563,EARN,REF_18,2026-11-13 16:54:46,Purchase reward points
LP_000019,FAN_00020,162,EARN,REF_19,2026-12-28 16:48:02,Purchase reward points
LP_000020,FAN_00021,222,EARN,REF_20,2024-05-23 13:05:14,Purchase reward points
LP_000021,FAN_00022,245,EARN,REF_21,2026-08-03 10:19:04,Purchase reward points
LP_000022,FAN_00023,895,EARN,REF_22,2025-02-27 00:43:56,Purchase reward points
LP_000023,FAN_00024,863,EARN,REF_23,2026-04-21 16:50:21,Purchase reward points
LP_000024,FAN_00025,235,EARN,REF_24,2024-10-10 07:32:49,Purchase reward points
LP_000025,FAN_00026,563,EARN,REF_25,2024-11-17 02:02:15,Purchase reward points
LP_000026,FAN_00027,819,REDEEM,REF_26,2026-03-21 21:26:51,Points redeemed for discount
LP_000027,FAN_00028,151,EARN,REF_27,2025-03-27 08:42:53,Purchase reward points
LP_000028,FAN_00029,973,EARN,REF_28,2026-02-19 11:19:30,Purchase reward points
LP_000029,FAN_00030,800,EARN,REF_29,2024-06-02 01:26:47,Purchase reward points
LP_000030,FAN_00031,343,REDEEM,REF_30,2026-02-24 06:31:48,Points redeemed for discount
LP_000031,FAN_00032,926,EARN,REF_31,2025-11-28 19:37:52,Purchase reward points
LP_000032,FAN_00033,259,EARN,REF_32,2026-07-23 00:00:20,Purchase reward points
LP_000033,FAN_00034,50,EARN,REF_33,2024-04-13 21:15:09,Purchase reward points
LP_000034,FAN_00035,413,EARN,REF_34,2025-10-02 20:30:48,Purchase reward points
LP_000035,FAN_00036,456,EARN,REF_35,2024-09-12 14:12:37,Purchase reward points
LP_000036,FAN_00037,159,EARN,REF_36,2024-06-06 06:30:57,Purchase reward points
LP_000037,FAN_00038,445,REDEEM,REF_37,2026-02-07 17:56:13,Points redeemed for discount
LP_000038,FAN_00039,376,REDEEM,REF_38,2025-11-28 02:00:10,Points redeemed for discount
LP_000039,FAN_00040,792,EARN,REF_39,2025-11-19 19:06:17,Purchase reward points
LP_000040,FAN_00041,519,EARN,REF_40,2026-04-14 01:10:23,Purchase reward points
LP_000041,FAN_00042,307,EARN,REF_41,2024-04-13 12:44:29,Purchase reward points
LP_000042,FAN_00043,481,EARN,REF_42,2024-05-05 04:15:25,Purchase reward points
LP_000043,FAN_00044,851,EARN,REF_43,2025-02-12 03:10:44,Purchase reward points
LP_000044,FAN_00045,833,REDEEM,REF_44,2025-06-14 11:37:36,Points redeemed for discount
LP_000045,FAN_00046,592,REDEEM,REF_45,2026-04-04 06:27:11,Points redeemed for discount
LP_000046,FAN_00047,359,EARN,REF_46,2025-09-03 16:36:07,Purchase reward points
LP_000047,FAN_00048,837,EARN,REF_47,2026-08-03 05:47:11,Purchase reward points
LP_000048,FAN_00049,236,EARN,REF_48,2026-10-22 01:19:24,Purchase reward points
LP_000049,FAN_00050,813,EARN,REF_49,2026-06-21 23:44:41,Purchase reward points
LP_000050,FAN_00051,868,REDEEM,REF_50,2025-01-04 17:24:31,Points redeemed for discount
LP_000051,FAN_00052,966,EARN,REF_51,2025-05-13 06:36:46,Purchase reward points
LP_000052,FAN_00053,123,EARN,REF_52,2025-12-02 21:18:56,Purchase reward points
LP_000053,FAN_00054,590,REDEEM,REF_53,2024-08-12 13:10:43,Points redeemed for discount
LP_000054,FAN_00055,539,EARN,REF_54,2025-11-03 01:28:19,Purchase reward points
LP_000055,FAN_00056,223,REDEEM,REF_55,2026-04-11 06:24:33,Points redeemed for discount
LP_000056,FAN_00057,293,EARN,REF_56,2025-08-11 10:10:48,Purchase reward points
LP_000057,FAN_00058,789,EARN,REF_57,2024-09-19 17:21:35,Purchase reward points
LP_000058,FAN_00059,526,EARN,REF_58,2025-11-05 22:55:42,Purchase reward points
LP_000059,FAN_00060,584,EARN,REF_59,2025-06-08 19:35:32,Purchase reward points
LP_000060,FAN_00061,978,EARN,REF_60,2024-05-18 06:33:25,Purchase reward points
LP_000061,FAN_00062,375,EARN,REF_61,2026-06-20 06:18:57,Purchase reward points
LP_000062,FAN_00063,502,EARN,REF_62,2026-03-23 21:57:33,Purchase reward points
LP_000063,FAN_00064,817,EARN,REF_63,2025-07-05 06:18:41,Purchase reward points
LP_000064,FAN_00065,354,EARN,REF_64,2026-07-12 17:43:53,Purchase reward points
LP_000065,FAN_00066,116,EARN,REF_65,2025-01-07 07:31:13,Purchase reward points
LP_000066,FAN_00067,77,EARN,REF_66,2025-09-25 19:46:33,Purchase reward points
LP_000067,FAN_00068,816,EARN,REF_67,2026-01-11 00:02:31,Purchase reward points
LP_000068,FAN_00069,890,REDEEM,REF_68,2024-08-15 20:40:36,Points redeemed for discount
LP_000069,FAN_00070,829,REDEEM,REF_69,2026-03-26 19:09:51,Points redeemed for discount
LP_000070,FAN_00071,438,REDEEM,REF_70,2025-10-21 10:41:49,Points redeemed for discount
LP_000071,FAN_00072,89,REDEEM,REF_71,2025-02-09 17:07:36,Points redeemed for discount
LP_000072,FAN_00073,403,EARN,REF_72,2024-09-04 04:46:59,Purchase reward points
LP_000073,FAN_00074,277,EARN,REF_73,2025-09-03 23:29:22,Purchase reward points
LP_000074,FAN_00075,44,EARN,REF_74,2025-02-07 15:56:05,Purchase reward points
LP_000075,FAN_00076,266,EARN,REF_75,2025-01-08 12:53:32,Purchase reward points
LP_000076,FAN_00077,187,EARN,REF_76,2025-12-18 21:50:34,Purchase reward points
LP_000077,FAN_00078,542,EARN,REF_77,2025-07-13 16:13:30,Purchase reward points
LP_000078,FAN_00079,453,EARN,REF_78,2025-05-26 10:41:47,Purchase reward points
LP_000079,FAN_00080,781,EARN,REF_79,2024-02-15 09:24:49,Purchase reward points
LP_000080,FAN_00081,805,EARN,REF_80,2025-06-15 18:26:31,Purchase reward points
LP_000081,FAN_00082,571,REDEEM,REF_81,2026-01-24 11:43:44,Points redeemed for discount
LP_000082,FAN_00083,353,REDEEM,REF_82,2024-05-16 14:39:07,Points redeemed for discount
LP_000083,FAN_00084,995,EARN,REF_83,2025-08-11 08:49:50,Purchase reward points
LP_000084,FAN_00085,984,EARN,REF_84,2025-02-22 18:34:22,Purchase reward points
LP_000085,FAN_00086,864,EARN,REF_85,2026-11-26 11:29:24,Purchase reward points
LP_000086,FAN_00087,647,EARN,REF_86,2024-06-06 08:50:10,Purchase reward points
LP_000087,FAN_00088,337,EARN,REF_87,2026-04-04 07:37:45,Purchase reward points
LP_000088,FAN_00089,181,EARN,REF_88,2026-01-12 22:13:43,Purchase reward points
LP_000089,FAN_00090,767,EARN,REF_89,2024-03-10 22:57:58,Purchase reward points
LP_000090,FAN_00091,86,REDEEM,REF_90,2025-03-14 05:05:20,Points redeemed for discount
LP_000091,FAN_00092,362,EARN,REF_91,2025-04-16 16:29:49,Purchase reward points
LP_000092,FAN_00093,529,REDEEM,REF_92,2024-08-12 07:10:42,Points redeemed for discount
LP_000093,FAN_00094,969,EARN,REF_93,2024-06-28 19:44:17,Purchase reward points
LP_000094,FAN_00095,408,REDEEM,REF_94,2024-07-11 19:54:54,Points redeemed for discount
LP_000095,FAN_00096,215,EARN,REF_95,2026-08-17 01:00:06,Purchase reward points
LP_000096,FAN_00097,567,EARN,REF_96,2026-04-06 20:12:47,Purchase reward points
LP_000097,FAN_00098,574,REDEEM,REF_97,2026-12-12 03:02:45,Points redeemed for discount
LP_000098,FAN_00099,718,EARN,REF_98,2026-07-04 08:56:48,Purchase reward points
LP_000099,FAN_00100,720,EARN,REF_99,2026-05-14 17:41:51,Purchase reward points
LP_000100,FAN_00101,353,REDEEM,REF_100,2025-03-28 01:58:01,Points redeemed for discount
