matchId,homeTeam,awayTeam,venue,matchDate,matchTime,status,homeScore,awayScore,attendance,ticketPriceStandard,ticketPriceVip,competition,round,referee
MATCH_001,City Warriors,Real United,Stadium,2027-03-31,15:00,COMPLETED,1,4,21683,50.00,200.00,National Cup,2,Referee 2
MATCH_002,Athletic FC,Galaxy FC,Stadium,2026-07-09,16:30,SCHEDULED,0,0,0,50.00,200.00,Super Cup,3,Referee 3
MATCH_003,Real United,Away United,Stadium,2026-05-10,17:45,TICKETS_ON_SALE,0,0,0,50.00,200.00,Champions League,4,Referee 4
MATCH_004,Thunder FC,City Warriors,Stadium,2026-07-04,16:30,COMPLETED,4,0,31283,50.00,200.00,League Cup,5,Referee 5
MATCH_005,Home FC,Thunder FC,Stadium,2026-12-07,18:30,COMPLETED,2,1,35084,50.00,200.00,Friendly Tournament,6,Referee 6
MATCH_006,Thunder FC,Thunder FC,Stadium,2026-09-28,17:15,SCHEDULED,0,0,0,50.00,200.00,Premier League,7,Referee 7
MATCH_007,United Stars,Thunder FC,Stadium,2026-05-04,18:15,TICKETS_ON_SALE,0,0,0,50.00,200.00,National Cup,8,Referee 8
MATCH_008,Sporting FC,Home FC,Stadium,2027-04-15,15:45,COMPLETED,2,1,25698,50.00,200.00,Super Cup,9,Referee 9
MATCH_009,Galaxy FC,Galaxy FC,Stadium,2026-07-15,18:15,COMPLETED,2,3,14028,50.00,200.00,Champions League,10,Referee 10
MATCH_010,Athletico Club,Dynasty FC,Stadium,2026-06-08,17:00,SCHEDULED,0,0,0,50.00,200.00,League Cup,11,Referee 11
MATCH_011,United Stars,Real United,Stadium,2026-05-09,16:15,TICKETS_ON_SALE,0,0,0,50.00,200.00,Friendly Tournament,12,Referee 12
MATCH_012,Royal Sporting,United Stars,Stadium,2026-09-21,17:45,COMPLETED,4,2,14155,50.00,200.00,Premier League,13,Referee 13
MATCH_013,Dynasty FC,Real United,Stadium,2026-10-01,17:00,COMPLETED,1,3,21299,50.00,200.00,National Cup,14,Referee 14
MATCH_014,Thunder FC,City Warriors,Stadium,2026-08-21,15:45,SCHEDULED,0,0,0,50.00,200.00,Super Cup,15,Referee 15
MATCH_015,Real United,Rovers FC,Stadium,2026-08-05,15:45,TICKETS_ON_SALE,0,0,0,50.00,200.00,Champions League,16,Referee 16
MATCH_016,Away United,Sporting FC,Stadium,2026-06-26,17:30,COMPLETED,4,0,18244,50.00,200.00,League Cup,17,Referee 17
MATCH_017,United Stars,Wanderers FC,Stadium,2026-12-15,16:00,COMPLETED,2,3,35482,50.00,200.00,Friendly Tournament,18,Referee 18
MATCH_018,Rovers FC,Away United,Stadium,2026-11-25,15:45,SCHEDULED,0,0,0,50.00,200.00,Premier League,19,Referee 19
MATCH_019,Athletic FC,United Stars,Stadium,2026-11-29,17:45,TICKETS_ON_SALE,0,0,0,50.00,200.00,National Cup,20,Referee 20
MATCH_020,Dynasty FC,Thunder FC,Stadium,2027-01-07,15:45,COMPLETED,2,0,24929,50.00,200.00,Super Cup,21,Referee 1
MATCH_021,Dynasty FC,Real United,Stadium,2026-11-14,15:15,COMPLETED,3,4,42707,50.00,200.00,Champions League,22,Referee 2
MATCH_022,Dynasty FC,Olympic Club,Stadium,2027-02-11,15:45,SCHEDULED,0,0,0,50.00,200.00,League Cup,23,Referee 3
MATCH_023,Real United,Thunder FC,Stadium,2026-08-04,16:45,TICKETS_ON_SALE,0,0,0,50.00,200.00,Friendly Tournament,24,Referee 4
MATCH_024,Galaxy FC,Dynasty FC,Stadium,2026-08-18,15:30,COMPLETED,2,0,35560,50.00,200.00,Premier League,25,Referee 5
MATCH_025,Royal Sporting,Home FC,Stadium,2027-03-10,16:00,COMPLETED,1,3,41660,50.00,200.00,National Cup,26,Referee 6
MATCH_026,Athletic FC,City Warriors,Stadium,2026-05-26,16:45,SCHEDULED,0,0,0,50.00,200.00,Super Cup,27,Referee 7
MATCH_027,United Stars,Sporting FC,Stadium,2026-05-14,16:15,TICKETS_ON_SALE,0,0,0,50.00,200.00,Champions League,28,Referee 8
MATCH_028,Wanderers FC,Home FC,Stadium,2026-12-22,15:15,COMPLETED,1,4,10065,50.00,200.00,League Cup,29,Referee 9
MATCH_029,Olympic Club,Athletico Club,Stadium,2026-11-21,18:15,COMPLETED,2,0,17706,50.00,200.00,Friendly Tournament,30,Referee 10
MATCH_030,Real United,Thunder FC,Stadium,2026-11-23,18:30,SCHEDULED,0,0,0,50.00,200.00,Premier League,31,Referee 11
MATCH_031,Real United,Olympic Club,Stadium,2026-09-06,17:45,TICKETS_ON_SALE,0,0,0,50.00,200.00,National Cup,32,Referee 12
MATCH_032,Wanderers FC,Rovers FC,Stadium,2026-09-20,18:15,COMPLETED,1,3,14915,50.00,200.00,Super Cup,33,Referee 13
MATCH_033,Rovers FC,Athletic FC,Stadium,2026-07-08,15:00,COMPLETED,1,2,16671,50.00,200.00,Champions League,34,Referee 14
MATCH_034,Home FC,Wanderers FC,Stadium,2027-01-04,15:15,SCHEDULED,0,0,0,50.00,200.00,League Cup,35,Referee 15
MATCH_035,Athletico Club,Sporting FC,Stadium,2027-02-14,17:45,TICKETS_ON_SALE,0,0,0,50.00,200.00,Friendly Tournament,36,Referee 16
MATCH_036,Home FC,Sporting FC,Stadium,2027-04-02,17:15,COMPLETED,3,2,38414,50.00,200.00,Premier League,37,Referee 17
MATCH_037,Thunder FC,Athletic FC,Stadium,2026-07-22,15:45,COMPLETED,0,2,16681,50.00,200.00,National Cup,38,Referee 18
MATCH_038,Athletic FC,Galaxy FC,Stadium,2027-02-23,16:30,SCHEDULED,0,0,0,50.00,200.00,Super Cup,1,Referee 19
MATCH_039,Wanderers FC,Olympic Club,Stadium,2027-02-23,15:45,TICKETS_ON_SALE,0,0,0,50.00,200.00,Champions League,2,Referee 20
MATCH_040,Athletico Club,Sporting FC,Stadium,2026-06-26,18:45,COMPLETED,2,3,18012,50.00,200.00,League Cup,3,Referee 1
MATCH_041,Athletico Club,Athletico Club,Stadium,2026-10-30,16:30,COMPLETED,0,4,37817,50.00,200.00,Friendly Tournament,4,Referee 2
MATCH_042,Athletico Club,Athletic FC,Stadium,2026-12-23,15:15,SCHEDULED,0,0,0,50.00,200.00,Premier League,5,Referee 3
MATCH_043,Away United,Athletic FC,Stadium,2026-11-27,16:15,TICKETS_ON_SALE,0,0,0,50.00,200.00,National Cup,6,Referee 4
MATCH_044,United Stars,Sporting FC,Stadium,2026-11-05,15:45,COMPLETED,2,3,24284,50.00,200.00,Super Cup,7,Referee 5
MATCH_045,Athletico Club,Athletico Club,Stadium,2026-09-21,18:00,COMPLETED,3,0,12067,50.00,200.00,Champions League,8,Referee 6
