ticketId,matchId,fanId,seatId,category,price,purchaseDate,matchDate,checkedIn,checkedInTime,transactionId
TICKET_001094,MATCH_045,FAN_00095,B-E-100,CHILD,101.0,01,2024-07-27,false,false,
TICKET_001093,MATCH_044,FAN_00094,D-H-032,STANDARD,49.0,79,2025-11-07,false,true,2025-11-07
TICKET_001096,MATCH_047,FAN_00097,C-A-026,PREMIUM,70.0,92,2025-10-11,false,true,2025-10-11
TICKET_001095,MATCH_046,FAN_00096,VIP-B-080,PREMIUM,127.0,53,2025-12-20,false,false,
TICKET_001090,MATCH_041,FAN_00091,E-C-011,VIP,72.0,58,2024-03-21,false,false,
TICKET_001092,MATCH_043,FAN_00093,C-D-060,ECONOMY,35.0,72,2026-09-25,false,true,2026-09-25
TICKET_001091,MATCH_042,FAN_00092,C-F-080,VIP,179.0,78,2025-03-18,false,true,2025-03-18
TICKET_001098,MATCH_049,FAN_00099,C-B-057,ECONOMY,158.0,68,2024-02-07,false,true,2024-02-07
TICKET_001097,MATCH_048,FAN_00098,F-A-069,ECONOMY,66.0,43,2025-08-20,false,true,2025-08-20
TICKET_001099,MATCH_050,FAN_00100,VIP-H-019,CHILD,107.0,65,2026-03-04,false,false,
TICKET_000828,MATCH_029,FAN_00329,F-C-085,ECONOMY,176.0,47,2026-03-14,false,false,
TICKET_000827,MATCH_028,FAN_00328,VIP-H-079,ECONOMY,79.0,38,2024-02-05,false,false,
TICKET_000829,MATCH_030,FAN_00330,VIP-A-098,STUDENT,162.0,96,2024-09-05,false,false,
TICKET_000835,MATCH_036,FAN_00336,C-F-049,STANDARD,33.0,19,2025-08-13,false,true,2025-08-13
TICKET_000834,MATCH_035,FAN_00335,VIP-G-038,PREMIUM,144.0,35,2024-02-14,false,false,
TICKET_000837,MATCH_038,FAN_00338,E-C-095,PREMIUM,151.0,78,2026-03-22,false,false,
TICKET_000836,MATCH_037,FAN_00337,C-E-086,ECONOMY,175.0,94,2024-06-13,false,false,
TICKET_000831,MATCH_032,FAN_00332,D-B-044,CHILD,68.0,19,2026-04-08,false,false,
TICKET_000830,MATCH_031,FAN_00331,F-D-025,PREMIUM,175.0,02,2025-05-16,false,false,
TICKET_000833,MATCH_034,FAN_00334,F-C-070,STANDARD,153.0,31,2025-03-25,false,false,
TICKET_000832,MATCH_033,FAN_00333,B-E-034,PREMIUM,95.0,44,2025-11-15,false,false,
TICKET_000817,MATCH_018,FAN_00318,VIP-E-007,CHILD,87.0,24,2025-08-22,false,true,2025-08-22
TICKET_000816,MATCH_017,FAN_00317,F-I-059,STUDENT,115.0,14,2025-06-23,false,true,2025-06-23
TICKET_000819,MATCH_020,FAN_00320,A-H-023,STUDENT,111.0,14,2026-09-06,false,true,2026-09-06
TICKET_000818,MATCH_019,FAN_00319,B-B-030,SENIOR,192.0,19,2026-11-26,false,true,2026-11-26
TICKET_000824,MATCH_025,FAN_00325,A-D-072,STANDARD,93.0,23,2024-06-11,false,false,
TICKET_000823,MATCH_024,FAN_00324,C-E-080,ECONOMY,150.0,01,2024-02-15,false,false,
TICKET_000826,MATCH_027,FAN_00327,F-B-028,PREMIUM,104.0,74,2026-08-07,false,true,2026-08-07
TICKET_000825,MATCH_026,FAN_00326,A-H-052,PREMIUM,155.0,74,2024-12-04,false,true,2024-12-04
TICKET_000820,MATCH_021,FAN_00321,C-C-072,PREMIUM,143.0,31,2025-03-10,false,false,
TICKET_000822,MATCH_023,FAN_00323,C-J-002,STUDENT,177.0,73,2025-06-24,false,false,
TICKET_000821,MATCH_022,FAN_00322,E-J-059,PREMIUM,162.0,29,2026-11-01,false,true,2026-11-01
TICKET_000809,MATCH_010,FAN_00310,D-I-043,STUDENT,71.0,97,2025-06-25,false,true,2025-06-25
TICKET_000806,MATCH_007,FAN_00307,E-C-013,ECONOMY,199.0,38,2024-12-27,false,false,
TICKET_000805,MATCH_006,FAN_00306,D-J-006,PREMIUM,49.0,40,2024-05-11,false,true,2024-05-11
TICKET_000808,MATCH_009,FAN_00309,VIP-C-080,STUDENT,108.0,55,2024-02-08,false,true,2024-02-08
TICKET_000807,MATCH_008,FAN_00308,D-J-094,VIP,96.0,40,2025-04-23,false,false,
TICKET_000813,MATCH_014,FAN_00314,B-F-044,STUDENT,138.0,43,2025-03-10,false,true,2025-03-10
TICKET_000812,MATCH_013,FAN_00313,D-C-092,VIP,126.0,13,2024-08-19,false,true,2024-08-19
TICKET_000815,MATCH_016,FAN_00316,B-D-077,SENIOR,92.0,19,2024-07-08,false,true,2024-07-08
TICKET_000814,MATCH_015,FAN_00315,F-D-081,ECONOMY,34.0,35,2025-10-18,false,true,2025-10-18
TICKET_000811,MATCH_012,FAN_00312,VIP-A-029,PREMIUM,157.0,78,2025-10-02,false,true,2025-10-02
TICKET_000810,MATCH_011,FAN_00311,C-C-037,VIP,58.0,42,2025-12-26,false,false,
TICKET_000802,MATCH_003,FAN_00303,F-J-073,STUDENT,176.0,57,2025-12-10,false,false,
TICKET_000801,MATCH_002,FAN_00302,A-J-028,SENIOR,59.0,22,2026-10-19,false,false,
TICKET_000804,MATCH_005,FAN_00305,B-I-069,STUDENT,68.0,30,2026-01-08,false,true,2026-01-08
TICKET_000803,MATCH_004,FAN_00304,A-F-085,STUDENT,69.0,81,2024-12-14,false,true,2024-12-14
TICKET_000800,MATCH_001,FAN_00301,F-H-042,ECONOMY,137.0,26,2024-11-07,false,true,2024-11-07
TICKET_000629,MATCH_030,FAN_00130,B-E-031,PREMIUM,140.0,62,2025-08-02,false,false,
TICKET_000637,MATCH_038,FAN_00138,C-C-037,STANDARD,60.0,00,2025-11-08,false,false,
TICKET_000879,MATCH_030,FAN_00380,B-A-085,SENIOR,127.0,38,2026-01-08,false,true,2026-01-08
TICKET_000636,MATCH_037,FAN_00137,C-H-068,STUDENT,115.0,34,2025-03-08,false,false,
TICKET_000878,MATCH_029,FAN_00379,E-H-066,PREMIUM,50.0,48,2026-03-28,false,true,2026-03-28
TICKET_000639,MATCH_040,FAN_00140,D-B-056,CHILD,89.0,46,2024-02-06,false,true,2024-02-06
TICKET_000638,MATCH_039,FAN_00139,D-J-033,PREMIUM,78.0,05,2024-02-02,false,false,
TICKET_000633,MATCH_034,FAN_00134,B-D-031,VIP,176.0,40,2024-03-25,false,true,2024-03-25
TICKET_000875,MATCH_026,FAN_00376,C-C-066,STANDARD,86.0,75,2025-07-27,false,true,2025-07-27
TICKET_000632,MATCH_033,FAN_00133,B-G-052,PREMIUM,84.0,46,2025-09-04,false,false,
TICKET_000874,MATCH_025,FAN_00375,A-B-071,SENIOR,116.0,06,2026-06-21,false,true,2026-06-21
TICKET_000635,MATCH_036,FAN_00136,VIP-H-039,CHILD,189.0,27,2026-10-07,false,false,
TICKET_000877,MATCH_028,FAN_00378,B-E-032,STANDARD,166.0,73,2026-10-26,false,false,
TICKET_000634,MATCH_035,FAN_00135,D-G-018,ECONOMY,115.0,67,2026-08-03,false,false,
TICKET_000876,MATCH_027,FAN_00377,VIP-C-090,CHILD,123.0,31,2025-11-09,false,false,
TICKET_000871,MATCH_022,FAN_00372,F-H-060,SENIOR,119.0,84,2026-02-25,false,false,
TICKET_000870,MATCH_021,FAN_00371,C-G-043,SENIOR,77.0,59,2025-05-11,false,true,2025-05-11
TICKET_000631,MATCH_032,FAN_00132,B-A-097,STUDENT,36.0,92,2025-02-20,false,false,
TICKET_000873,MATCH_024,FAN_00374,E-G-068,PREMIUM,33.0,41,2025-03-10,false,true,2025-03-10
TICKET_000630,MATCH_031,FAN_00131,A-F-020,SENIOR,170.0,31,2026-12-26,false,false,
