recordId,matchId,fanId,seatId,entryTime,exitTime,earlyArrival
ATT_000001,MATCH_002,FAN_00002,B-A-077,2026-05-02 14:49,,false
ATT_000002,MATCH_003,FAN_00003,A-E-097,2026-05-03 14:46,,true
ATT_000003,MATCH_004,FAN_00004,F-D-099,2026-05-04 14:03,,false
ATT_000004,MATCH_005,FAN_00005,D-I-085,2026-05-05 14:07,,false
ATT_000005,MATCH_006,FAN_00006,F-G-036,2026-05-06 14:50,,true
ATT_000006,MATCH_007,FAN_00007,VIP-C-047,2026-05-07 14:35,,false
ATT_000007,MATCH_008,FAN_00008,D-E-078,2026-05-08 14:04,,true
ATT_000008,MATCH_009,FAN_00009,A-E-041,2026-05-09 14:13,,false
ATT_000009,MATCH_010,FAN_00010,A-F-059,2026-05-10 14:20,,true
ATT_000010,MATCH_011,FAN_00011,B-I-085,2026-05-11 14:55,,false
ATT_000011,MATCH_012,FAN_00012,F-G-053,2026-05-12 14:46,,false
ATT_000012,MATCH_013,FAN_00013,C-E-023,2026-05-13 14:53,,false
ATT_000013,MATCH_014,FAN_00014,F-C-090,2026-05-14 14:23,,true
ATT_000014,MATCH_015,FAN_00015,VIP-D-060,2026-05-15 14:17,,false
ATT_000015,MATCH_016,FAN_00016,B-G-036,2026-05-16 14:50,,false
ATT_000016,MATCH_017,FAN_00017,C-G-061,2026-05-17 14:35,,true
ATT_000017,MATCH_018,FAN_00018,C-G-056,2026-05-18 14:41,,false
ATT_000018,MATCH_019,FAN_00019,VIP-H-093,2026-05-19 14:04,,false
ATT_000019,MATCH_020,FAN_00020,E-C-073,2026-05-20 14:36,,false
ATT_000020,MATCH_021,FAN_00021,C-B-099,2026-05-21 14:05,,false
ATT_000021,MATCH_022,FAN_00022,B-A-056,2026-05-22 14:48,,false
ATT_000022,MATCH_023,FAN_00023,F-G-096,2026-05-23 14:38,,true
ATT_000023,MATCH_024,FAN_00024,F-G-097,2026-05-24 14:13,,true
ATT_000024,MATCH_025,FAN_00025,F-F-042,2026-05-25 14:07,,false
ATT_000025,MATCH_026,FAN_00026,VIP-F-097,2026-05-26 14:29,,true
ATT_000026,MATCH_027,FAN_00027,A-E-083,2026-05-27 14:47,,false
ATT_000027,MATCH_028,FAN_00028,A-A-050,2026-05-28 14:02,,true
ATT_000028,MATCH_029,FAN_00029,C-B-013,2026-05-01 14:19,,false
ATT_000029,MATCH_030,FAN_00030,A-E-032,2026-05-02 14:23,,false
ATT_000030,MATCH_031,FAN_00031,B-I-007,2026-05-03 14:06,,true
ATT_000031,MATCH_032,FAN_00032,C-G-004,2026-05-04 14:39,,false
ATT_000032,MATCH_033,FAN_00033,D-C-080,2026-05-05 14:06,,true
ATT_000033,MATCH_034,FAN_00034,C-C-028,2026-05-06 14:26,,false
ATT_000034,MATCH_035,FAN_00035,D-E-056,2026-05-07 14:56,,true
ATT_000035,MATCH_036,FAN_00036,A-C-019,2026-05-08 14:28,,false
ATT_000036,MATCH_037,FAN_00037,F-B-028,2026-05-09 14:49,,false
ATT_000037,MATCH_038,FAN_00038,VIP-E-067,2026-05-10 14:13,,false
ATT_000038,MATCH_039,FAN_00039,VIP-B-075,2026-05-11 14:09,,true
ATT_000039,MATCH_040,FAN_00040,D-G-034,2026-05-12 14:56,,false
ATT_000040,MATCH_041,FAN_00041,B-H-072,2026-05-13 14:17,,false
ATT_000041,MATCH_042,FAN_00042,E-B-041,2026-05-14 14:50,,true
ATT_000042,MATCH_043,FAN_00043,A-A-082,2026-05-15 14:21,,true
ATT_000043,MATCH_044,FAN_00044,B-F-092,2026-05-16 14:13,,true
ATT_000044,MATCH_045,FAN_00045,A-D-096,2026-05-17 14:41,,false
ATT_000045,MATCH_046,FAN_00046,A-G-023,2026-05-18 14:56,,false
ATT_000046,MATCH_047,FAN_00047,F-B-069,2026-05-19 14:16,,false
ATT_000047,MATCH_048,FAN_00048,F-F-005,2026-05-20 14:42,,true
ATT_000048,MATCH_049,FAN_00049,E-A-011,2026-05-21 14:24,,false
ATT_000049,MATCH_050,FAN_00050,A-E-096,2026-05-22 14:16,,false
ATT_000050,MATCH_001,FAN_00051,B-E-037,2026-05-23 14:12,,false
ATT_000051,MATCH_002,FAN_00052,E-A-044,2026-05-24 14:38,,false
ATT_000052,MATCH_003,FAN_00053,VIP-G-023,2026-05-25 14:52,,false
ATT_000053,MATCH_004,FAN_00054,F-G-082,2026-05-26 14:22,,true
ATT_000054,MATCH_005,FAN_00055,A-I-060,2026-05-27 14:07,,true
ATT_000055,MATCH_006,FAN_00056,D-G-021,2026-05-28 14:56,,true
ATT_000056,MATCH_007,FAN_00057,F-A-043,2026-05-01 14:58,,true
ATT_000057,MATCH_008,FAN_00058,VIP-J-004,2026-05-02 14:57,,false
ATT_000058,MATCH_009,FAN_00059,C-J-082,2026-05-03 14:38,,false
ATT_000059,MATCH_010,FAN_00060,F-J-092,2026-05-04 14:21,,true
ATT_000060,MATCH_011,FAN_00061,VIP-G-063,2026-05-05 14:07,,false
ATT_000061,MATCH_012,FAN_00062,F-J-079,2026-05-06 14:16,,false
ATT_000062,MATCH_013,FAN_00063,A-D-080,2026-05-07 14:37,,true
ATT_000063,MATCH_014,FAN_00064,A-A-018,2026-05-08 14:57,,false
ATT_000064,MATCH_015,FAN_00065,E-I-082,2026-05-09 14:25,,true
ATT_000065,MATCH_016,FAN_00066,E-B-060,2026-05-10 14:56,,false
ATT_000066,MATCH_017,FAN_00067,C-B-026,2026-05-11 14:49,,false
ATT_000067,MATCH_018,FAN_00068,B-D-002,2026-05-12 14:47,,true
ATT_000068,MATCH_019,FAN_00069,A-J-033,2026-05-13 14:45,,true
ATT_000069,MATCH_020,FAN_00070,E-A-079,2026-05-14 14:28,,false
ATT_000070,MATCH_021,FAN_00071,B-C-047,2026-05-15 14:41,,true
ATT_000071,MATCH_022,FAN_00072,D-E-064,2026-05-16 14:37,,true
ATT_000072,MATCH_023,FAN_00073,F-A-072,2026-05-17 14:59,,true
ATT_000073,MATCH_024,FAN_00074,D-H-089,2026-05-18 14:15,,false
ATT_000074,MATCH_025,FAN_00075,B-C-070,2026-05-19 14:46,,false
ATT_000075,MATCH_026,FAN_00076,E-C-041,2026-05-20 14:30,,false
ATT_000076,MATCH_027,FAN_00077,E-G-026,2026-05-21 14:42,,true
ATT_000077,MATCH_028,FAN_00078,B-I-041,2026-05-22 14:30,,false
ATT_000078,MATCH_029,FAN_00079,VIP-G-038,2026-05-23 14:00,,true
ATT_000079,MATCH_030,FAN_00080,D-F-009,2026-05-24 14:08,,false
ATT_000080,MATCH_031,FAN_00081,D-C-048,2026-05-25 14:05,,false
ATT_000081,MATCH_032,FAN_00082,D-C-060,2026-05-26 14:20,,false
ATT_000082,MATCH_033,FAN_00083,E-C-038,2026-05-27 14:55,,false
ATT_000083,MATCH_034,FAN_00084,B-A-002,2026-05-28 14:15,,false
ATT_000084,MATCH_035,FAN_00085,C-G-061,2026-05-01 14:08,,false
ATT_000085,MATCH_036,FAN_00086,F-J-016,2026-05-02 14:45,,false
ATT_000086,MATCH_037,FAN_00087,F-H-080,2026-05-03 14:47,,true
ATT_000087,MATCH_038,FAN_00088,F-D-077,2026-05-04 14:56,,false
