teamName,played,won,drawn,lost,goalsFor,goalsAgainst,goalDifference,points,season,position
Home FC,31,25,0,6,47,55,-8,75,2025-2026,1
Away United,38,15,0,23,89,74,15,45,2025-2026,2
City Warriors,34,3,0,31,63,28,35,9,2025-2026,3
Royal Sporting,38,23,9,6,74,43,31,78,2025-2026,4
Olympic Club,38,9,9,20,23,26,-3,36,2025-2026,5
Athletic FC,32,5,5,22,94,55,39,20,2025-2026,6
United Stars,38,4,0,34,91,61,30,12,2025-2026,7
Rovers FC,31,29,0,2,35,51,-16,87,2025-2026,8
Wanderers FC,34,14,9,11,85,48,37,51,2025-2026,9
Athletico Club,35,6,18,11,78,56,22,36,2025-2026,10
Real United,33,20,4,9,80,63,17,64,2025-2026,11
Sporting FC,31,13,10,8,57,49,8,49,2025-2026,12
Galaxy FC,34,13,20,1,81,75,6,59,2025-2026,13
Dynasty FC,39,8,27,4,38,58,-20,51,2025-2026,14
Thunder FC,35,6,5,24,79,57,22,23,2025-2026,15

