lineupId,matchId,teamName,formation,startingPlayers,substitutes,tactics,createdAt
LINEUP_0001,MATCH_002,Rovers FC,4-3-3,PLAYER_0099;PLAYER_0025;PLAYER_0016;PLAYER_0029;PLAYER_0096;PLAYER_0046;PLAYER_0013;PLAYER_0058;PLAYER_0045;PLAYER_0090;PLAYER_0039,PLAYER_0096;PLAYER_0074;PLAYER_0078;PLAYER_0054;PLAYER_0103;PLAYER_0116;PLAYER_0098,ATTACK,2026-11-24 10:31:22
LINEUP_0002,MATCH_003,Galaxy FC,4-3-3,PLAYER_0084;PLAYER_0015;PLAYER_0069;PLAYER_0036;PLAYER_0061;PLAYER_0098;PLAYER_0024;PLAYER_0120;PLAYER_0056;PLAYER_0060;PLAYER_0003,PLAYER_0005;PLAYER_0001;PLAYER_0019;PLAYER_0053;PLAYER_0058;PLAYER_0034;PLAYER_0012,ATTACK,2025-07-13 19:40:40
LINEUP_0003,MATCH_004,Sporting FC,4-3-3,PLAYER_0079;PLAYER_0082;PLAYER_0018;PLAYER_0081;PLAYER_0089;PLAYER_0004;PLAYER_0118;PLAYER_0075;PLAYER_0097;PLAYER_0001;PLAYER_0104,PLAYER_0118;PLAYER_0031;PLAYER_0057;PLAYER_0074;PLAYER_0099;PLAYER_0073;PLAYER_0006,ATTACK,2024-04-11 08:46:29
LINEUP_0004,MATCH_005,Sporting FC,4-3-3,PLAYER_0018;PLAYER_0027;PLAYER_0052;PLAYER_0113;PLAYER_0002;PLAYER_0049;PLAYER_0105;PLAYER_0093;PLAYER_0097;PLAYER_0047;PLAYER_0043,PLAYER_0011;PLAYER_0101;PLAYER_0034;PLAYER_0120;PLAYER_0016;PLAYER_0049;PLAYER_0047,ATTACK,2025-09-01 21:57:54
LINEUP_0005,MATCH_006,Dynasty FC,4-3-3,PLAYER_0110;PLAYER_0021;PLAYER_0029;PLAYER_0070;PLAYER_0019;PLAYER_0083;PLAYER_0099;PLAYER_0079;PLAYER_0116;PLAYER_0065;PLAYER_0054,PLAYER_0046;PLAYER_0025;PLAYER_0026;PLAYER_0062;PLAYER_0067;PLAYER_0058;PLAYER_0111,ATTACK,2025-06-03 08:01:35
LINEUP_0006,MATCH_007,City Warriors,4-3-3,PLAYER_0060;PLAYER_0042;PLAYER_0120;PLAYER_0116;PLAYER_0026;PLAYER_0014;PLAYER_0077;PLAYER_0096;PLAYER_0092;PLAYER_0103;PLAYER_0002,PLAYER_0089;PLAYER_0005;PLAYER_0062;PLAYER_0069;PLAYER_0045;PLAYER_0092;PLAYER_0078,ATTACK,2024-08-11 05:10:40
LINEUP_0007,MATCH_008,Home FC,4-3-3,PLAYER_0010;PLAYER_0074;PLAYER_0070;PLAYER_0003;PLAYER_0058;PLAYER_0100;PLAYER_0022;PLAYER_0117;PLAYER_0064;PLAYER_0118;PLAYER_0032,PLAYER_0014;PLAYER_0046;PLAYER_0091;PLAYER_0062;PLAYER_0120;PLAYER_0113;PLAYER_0009,ATTACK,2024-07-14 13:18:12
LINEUP_0008,MATCH_009,Dynasty FC,4-3-3,PLAYER_0097;PLAYER_0056;PLAYER_0023;PLAYER_0015;PLAYER_0073;PLAYER_0039;PLAYER_0076;PLAYER_0033;PLAYER_0118;PLAYER_0021;PLAYER_0079,PLAYER_0086;PLAYER_0018;PLAYER_0058;PLAYER_0104;PLAYER_0023;PLAYER_0052;PLAYER_0092,ATTACK,2026-07-17 16:15:30
LINEUP_0009,MATCH_010,Galaxy FC,4-3-3,PLAYER_0068;PLAYER_0098;PLAYER_0095;PLAYER_0119;PLAYER_0019;PLAYER_0055;PLAYER_0045;PLAYER_0014;PLAYER_0057;PLAYER_0113;PLAYER_0024,PLAYER_0040;PLAYER_0031;PLAYER_0057;PLAYER_0055;PLAYER_0098;PLAYER_0062;PLAYER_0118,ATTACK,2026-07-20 12:43:20
LINEUP_0010,MATCH_011,Olympic Club,4-3-3,PLAYER_0119;PLAYER_0010;PLAYER_0078;PLAYER_0088;PLAYER_0079;PLAYER_0036;PLAYER_0110;PLAYER_0112;PLAYER_0062;PLAYER_0104;PLAYER_0052,PLAYER_0004;PLAYER_0021;PLAYER_0031;PLAYER_0049;PLAYER_0016;PLAYER_0094;PLAYER_0025,ATTACK,2025-12-09 00:21:44
LINEUP_0011,MATCH_012,Wanderers FC,4-3-3,PLAYER_0049;PLAYER_0117;PLAYER_0105;PLAYER_0116;PLAYER_0048;PLAYER_0067;PLAYER_0034;PLAYER_0020;PLAYER_0110;PLAYER_0006;PLAYER_0086,PLAYER_0017;PLAYER_0091;PLAYER_0108;PLAYER_0085;PLAYER_0032;PLAYER_0118;PLAYER_0060,ATTACK,2024-12-09 18:36:45
LINEUP_0012,MATCH_013,City Warriors,4-3-3,PLAYER_0028;PLAYER_0073;PLAYER_0064;PLAYER_0040;PLAYER_0056;PLAYER_0038;PLAYER_0058;PLAYER_0117;PLAYER_0096;PLAYER_0002;PLAYER_0095,PLAYER_0022;PLAYER_0085;PLAYER_0057;PLAYER_0118;PLAYER_0025;PLAYER_0068;PLAYER_0061,ATTACK,2026-10-25 19:54:37
LINEUP_0013,MATCH_014,Olympic Club,4-3-3,PLAYER_0019;PLAYER_0117;PLAYER_0055;PLAYER_0074;PLAYER_0024;PLAYER_0060;PLAYER_0044;PLAYER_0033;PLAYER_0030;PLAYER_0091;PLAYER_0105,PLAYER_0019;PLAYER_0002;PLAYER_0081;PLAYER_0117;PLAYER_0037;PLAYER_0098;PLAYER_0087,ATTACK,2026-01-20 07:34:09
LINEUP_0014,MATCH_015,Away United,4-3-3,PLAYER_0005;PLAYER_0103;PLAYER_0072;PLAYER_0008;PLAYER_0116;PLAYER_0038;PLAYER_0019;PLAYER_0062;PLAYER_0068;PLAYER_0078;PLAYER_0056,PLAYER_0061;PLAYER_0080;PLAYER_0092;PLAYER_0116;PLAYER_0008;PLAYER_0054;PLAYER_0093,ATTACK,2026-07-22 22:51:15
LINEUP_0015,MATCH_016,Rovers FC,4-3-3,PLAYER_0078;PLAYER_0110;PLAYER_0043;PLAYER_0098;PLAYER_0066;PLAYER_0039;PLAYER_0003;PLAYER_0006;PLAYER_0092;PLAYER_0023;PLAYER_0050,PLAYER_0003;PLAYER_0035;PLAYER_0065;PLAYER_0099;PLAYER_0011;PLAYER_0113;PLAYER_0118,ATTACK,2024-06-04 11:39:10
LINEUP_0016,MATCH_017,Dynasty FC,4-3-3,PLAYER_0066;PLAYER_0001;PLAYER_0064;PLAYER_0010;PLAYER_0096;PLAYER_0097;PLAYER_0027;PLAYER_0092;PLAYER_0024;PLAYER_0039;PLAYER_0073,PLAYER_0059;PLAYER_0036;PLAYER_0102;PLAYER_0076;PLAYER_0010;PLAYER_0071;PLAYER_0112,ATTACK,2025-11-04 11:49:40
