ticketId,matchId,fanId,seatId,category,price,purchaseDate,matchDate,checkedIn,checkedInTime,transactionId
TICKET_000001,MATCH_002,FAN_00002,E-B-087,PREMIUM,188.40,2025-05-13,2026-02-02,false,,TXN_1
TICKET_000002,MATCH_003,FAN_00003,B-F-011,PREMIUM,34.62,2025-08-09,2026-03-03,false,,TXN_2
TICKET_000003,MATCH_004,FAN_00004,F-C-040,PREMIUM,165.63,2025-03-12,2026-04-04,false,,TXN_3
TICKET_000004,MATCH_005,FAN_00005,A-J-011,VIP,161.22,2024-08-21,2026-05-05,true,2024-08-21,TXN_4
TICKET_000005,MATCH_006,FAN_00006,D-J-052,STANDARD,82.88,2026-03-05,2026-06-06,false,,TXN_5
TICKET_000006,MATCH_007,FAN_00007,B-F-057,CHILD,188.30,2025-11-27,2026-07-07,true,2025-11-27,TXN_6
TICKET_000007,MATCH_008,FAN_00008,F-E-016,VIP,196.60,2024-11-19,2026-08-08,true,2024-11-19,TXN_7
TICKET_000008,MATCH_009,FAN_00009,F-A-022,STUDENT,164.83,2024-07-15,2026-09-09,false,,TXN_8
TICKET_000009,MATCH_010,FAN_00010,D-A-044,ECONOMY,136.89,2025-10-02,2026-10-10,false,,TXN_9
TICKET_000010,MATCH_011,FAN_00011,A-H-065,VIP,103.06,2025-11-22,2026-11-11,true,2025-11-22,TXN_10
TICKET_000011,MATCH_012,FAN_00012,A-G-055,CHILD,93.38,2025-03-27,2026-12-12,false,,TXN_11
TICKET_000012,MATCH_013,FAN_00013,F-I-011,SENIOR,31.89,2026-08-16,2026-01-13,false,,TXN_12
TICKET_000013,MATCH_014,FAN_00014,B-J-089,STUDENT,146.74,2026-09-05,2026-02-14,false,,TXN_13
TICKET_000014,MATCH_015,FAN_00015,B-B-079,PREMIUM,84.29,2026-11-04,2026-03-15,false,,TXN_14
TICKET_000015,MATCH_016,FAN_00016,A-G-087,STUDENT,161.60,2024-07-21,2026-04-16,false,,TXN_15
TICKET_000016,MATCH_017,FAN_00017,A-F-052,PREMIUM,181.55,2026-11-26,2026-05-17,false,,TXN_16
TICKET_000017,MATCH_018,FAN_00018,A-G-092,ECONOMY,101.82,2026-06-17,2026-06-18,true,2026-06-17,TXN_17
TICKET_000018,MATCH_019,FAN_00019,A-B-017,CHILD,143.19,2024-08-07,2026-07-19,true,2024-08-07,TXN_18
TICKET_000019,MATCH_020,FAN_00020,E-A-075,ECONOMY,82.60,2025-12-07,2026-08-20,false,,TXN_19
TICKET_000020,MATCH_021,FAN_00021,D-F-085,ECONOMY,161.32,2024-08-04,2026-09-21,true,2024-08-04,TXN_20
TICKET_000021,MATCH_022,FAN_00022,C-J-053,ECONOMY,113.10,2026-06-15,2026-10-22,true,2026-06-15,TXN_21
TICKET_000022,MATCH_023,FAN_00023,D-J-082,SENIOR,63.63,2025-11-23,2026-11-23,true,2025-11-23,TXN_22
TICKET_000023,MATCH_024,FAN_00024,F-C-080,ECONOMY,174.18,2025-01-04,2026-12-24,true,2025-01-04,TXN_23
TICKET_000024,MATCH_025,FAN_00025,A-D-007,SENIOR,137.17,2026-10-12,2026-01-25,false,,TXN_24
TICKET_000025,MATCH_026,FAN_00026,F-A-056,STUDENT,76.49,2026-08-12,2026-02-26,true,2026-08-12,TXN_25
TICKET_000026,MATCH_027,FAN_00027,F-D-098,STANDARD,158.04,2024-03-28,2026-03-27,true,2024-03-28,TXN_26
TICKET_000027,MATCH_028,FAN_00028,D-E-087,VIP,179.86,2025-02-23,2026-04-28,true,2025-02-23,TXN_27
TICKET_000028,MATCH_029,FAN_00029,VIP-E-069,SENIOR,49.91,2024-11-01,2026-05-01,false,,TXN_28
TICKET_000029,MATCH_030,FAN_00030,C-F-015,STANDARD,168.37,2024-06-24,2026-06-02,false,,TXN_29
