transactionId,timestamp,type,amount,description,referenceId,category,processedBy,reconciled
TXN_000001,2024-09-12 11:37:17,MERCHANDISE_SALE,64518.92,Merchandise sale revenue,REF_1,REVENUE,admin,false
TXN_000002,2024-01-11 11:39:25,MARKETING_EXPENSE,20050.93,Marketing and advertising expenditure,REF_2,EXPENSE,admin,false
TXN_000003,2026-09-28 01:31:08,MARKETING_EXPENSE,26950.79,Marketing and advertising expenditure,REF_3,EXPENSE,admin,true
TXN_000004,2024-07-24 07:39:02,UTILITY_EXPENSE,31427.69,Utility bills (electricity, water, etc.),REF_4,EXPENSE,admin,true
TXN_000005,2025-11-28 20:22:27,UTILITY_EXPENSE,43922.57,Utility bills (electricity, water, etc.),REF_5,EXPENSE,admin,false
TXN_000006,2025-06-25 14:36:02,MERCHANDISE_PURCHASE,8132.01,Cost of goods purchased for resale,REF_6,EXPENSE,admin,false
TXN_000007,2025-03-16 02:43:59,TICKET_PURCHASE,80190.22,Ticket purchase revenue,REF_7,REVENUE,admin,true
TXN_000008,2025-12-24 10:41:55,BROADCASTING_REVENUE,56799.52,TV broadcasting rights revenue,REF_8,REVENUE,admin,true
TXN_000009,2026-09-14 18:47:21,PRIZE_MONEY,49599.56,Tournament prize money,REF_9,REVENUE,admin,true
TXN_000010,2026-10-24 21:34:51,MERCHANDISE_PURCHASE,14770.55,Cost of goods purchased for resale,REF_10,EXPENSE,admin,true
TXN_000011,2024-08-27 04:50:07,SPONSORSHIP_INCOME,11862.65,Sponsorship and partnership income,REF_11,REVENUE,admin,true
TXN_000012,2025-06-02 02:39:26,MARKETING_EXPENSE,9719.44,Marketing and advertising expenditure,REF_12,EXPENSE,admin,true
TXN_000013,2026-01-10 03:09:59,SALARY_PAYMENT,6716.87,Staff and player salary payments,REF_13,EXPENSE,admin,true
TXN_000014,2026-11-02 12:01:12,PRIZE_MONEY,41717.10,Tournament prize money,REF_14,REVENUE,admin,true
TXN_000015,2026-05-06 08:24:45,SALARY_PAYMENT,48168.53,Staff and player salary payments,REF_15,EXPENSE,admin,false
TXN_000016,2025-10-21 02:50:39,SPONSORSHIP_INCOME,82015.36,Sponsorship and partnership income,REF_16,REVENUE,admin,true
TXN_000017,2025-03-25 08:24:51,SPONSORSHIP_INCOME,70792.55,Sponsorship and partnership income,REF_17,REVENUE,admin,true
TXN_000018,2025-09-15 20:39:34,SALARY_PAYMENT,48864.88,Staff and player salary payments,REF_18,EXPENSE,admin,false
TXN_000019,2024-04-21 14:10:44,MERCHANDISE_SALE,90251.85,Merchandise sale revenue,REF_19,REVENUE,admin,true
TXN_000020,2024-08-17 04:38:36,UTILITY_EXPENSE,6747.99,Utility bills (electricity, water, etc.),REF_20,EXPENSE,admin,true
TXN_000021,2024-05-08 06:05:02,TICKET_PURCHASE,75771.69,Ticket purchase revenue,REF_21,REVENUE,admin,true
TXN_000022,2025-05-09 05:27:11,SPONSORSHIP_INCOME,70868.17,Sponsorship and partnership income,REF_22,REVENUE,admin,false
TXN_000023,2025-08-01 13:07:03,MERCHANDISE_PURCHASE,38318.03,Cost of goods purchased for resale,REF_23,EXPENSE,admin,false
TXN_000024,2025-04-04 16:55:03,MARKETING_EXPENSE,31605.51,Marketing and advertising expenditure,REF_24,EXPENSE,admin,true
